month,sparplan_retention_pct,spot_only_retention_pct,sparplan_avg_auc_eur,spot_only_avg_auc_eur
1,98.8,93.5,100.6,457.36
2,97.6,87.4,202.41,463.91
3,96.4,81.7,305.43,468.93
4,95.3,76.4,409.69,471.87
5,94.1,71.5,515.18,472.4
6,93.0,66.8,621.93,470.46
7,91.9,62.5,729.93,466.27
8,90.8,58.4,839.22,460.29
9,89.7,54.6,949.78,453.18
10,88.6,51.1,1061.65,445.71
11,87.6,47.7,1174.82,438.72
12,86.5,44.6,1289.31,432.97
13,85.5,41.7,1405.13,429.1
14,84.4,39.0,1522.3,427.52
15,83.4,36.5,1640.82,428.42
16,82.4,34.1,1760.71,431.7
17,81.4,31.9,1881.98,436.99
18,80.5,29.8,2004.64,443.71
19,79.5,27.9,2128.7,451.13
20,78.5,26.1,2254.19,458.42
21,77.6,24.4,2381.1,464.78
22,76.7,22.8,2509.45,469.52
23,75.8,21.3,2639.26,472.11
24,74.8,19.9,2770.53,472.26
25,73.9,18.6,2903.28,469.96
26,73.1,17.4,3037.53,465.47
27,72.2,16.3,3173.29,459.27
28,71.3,15.2,3310.56,452.05
29,70.5,14.2,3449.37,444.61
30,69.6,13.3,3589.72,437.76
31,68.8,12.4,3731.63,432.26
32,68.0,11.6,3875.12,428.71
33,67.1,10.9,4020.2,427.5
34,66.3,10.2,4166.87,428.77
35,65.5,9.5,4315.16,432.38
36,64.8,8.9,4465.09,437.93
37,64.0,8.3,4616.65,444.8
38,63.2,7.8,4769.87,452.25
39,62.4,7.3,4924.77,459.45
40,61.7,6.8,5081.35,465.61
41,61.0,6.4,5239.64,470.06
42,60.2,5.9,5399.64,472.29
43,59.5,5.6,5561.37,472.07
44,58.8,5.2,5724.85,469.42
45,58.1,4.9,5890.09,464.63
46,57.4,4.5,6057.1,458.23
47,56.7,4.2,6225.91,450.93
48,56.0,4.0,6396.53,443.52
49,55.3,3.7,6568.97,436.83
50,54.7,3.5,6743.25,431.58
51,54.0,3.2,6919.38,428.37
52,53.4,3.0,7097.38,427.53
53,52.7,2.8,7277.28,429.17
54,52.1,2.7,7459.07,433.1
55,51.5,2.5,7642.78,438.89
56,50.9,2.3,7828.43,445.91
57,50.3,2.2,8016.04,453.37
58,49.6,2.0,8205.61,460.47
59,49.1,1.9,8397.17,466.41
60,48.5,1.8,8590.73,470.54
